Title,About,Responsibilies,Price
Программист Python (Django),,,Программист Python (Django)
Руководитель группы разработчиков (Python/Django),,,Руководитель группы разработчиков (Python/Django)
"Senior python-разработчик / web developer (django, backbone)",,,"Senior python-разработчик / web developer (django, backbone)"
Программист Python (Django),,,Программист Python (Django)
Разработчик django,,,Разработчик django
Junior разработчик (программист Python / Django),,,Junior разработчик (программист Python / Django)
Python / Django Team Lead / CTO,,,Python / Django Team Lead / CTO
Python/Django/Go разработчик,,,Python/Django/Go разработчик
Senior Python/django developer,,,Senior Python/django developer
Web-программист (Python Django),,,Web-программист (Python Django)
Web-программист (Python Django),,,Web-программист (Python Django)
Программист Python (Django),,,Программист Python (Django)
Руководитель группы разработчиков (Python/Django),,,Руководитель группы разработчиков (Python/Django)
"Senior python-разработчик / web developer (django, backbone)",,,"Senior python-разработчик / web developer (django, backbone)"
Программист Python (Django),,,Программист Python (Django)
Разработчик django,,,Разработчик django
Junior разработчик (программист Python / Django),,,Junior разработчик (программист Python / Django)
Python / Django Team Lead / CTO,,,Python / Django Team Lead / CTO
Python/Django/Go разработчик,,,Python/Django/Go разработчик
Senior Python/django developer,,,Senior Python/django developer
Web-программист (Python Django),,,Web-программист (Python Django)
Web-программист (Python Django),,,Web-программист (Python Django)
Программист Python (Django),,,Программист Python (Django)
Руководитель группы разработчиков (Python/Django),,,Руководитель группы разработчиков (Python/Django)
"Senior python-разработчик / web developer (django, backbone)",,,"Senior python-разработчик / web developer (django, backbone)"
Программист Python (Django),,,Программист Python (Django)
Разработчик django,,,Разработчик django
Junior разработчик (программист Python / Django),,,Junior разработчик (программист Python / Django)
Python / Django Team Lead / CTO,,,Python / Django Team Lead / CTO
Python/Django/Go разработчик,,,Python/Django/Go разработчик
Senior Python/django developer,,,Senior Python/django developer
Web-программист (Python Django),,,Web-программист (Python Django)
Web-программист (Python Django),,,Web-программист (Python Django)
Программист Python (Django),,,Программист Python (Django)
Руководитель группы разработчиков (Python/Django),,,Руководитель группы разработчиков (Python/Django)
